iter	MultiClass
0	1.228083083
1	1.112298442
2	1.016492975
3	0.9395632177
4	0.8748443782
5	0.8111488102
6	0.7580187264
7	0.7174479096
8	0.6784492465
9	0.6362717179
10	0.6015706791
11	0.5745187978
12	0.5472526737
13	0.5237807674
14	0.500912938
15	0.4826954975
16	0.4605537785
17	0.4419579752
18	0.4277686809
19	0.4102433461
20	0.3942201608
21	0.3814118196
22	0.3707419505
23	0.3602999876
24	0.3485605773
25	0.3403481527
26	0.3314766859
27	0.3245622074
28	0.3179685263
29	0.3094576196
30	0.303047454
31	0.2944049365
32	0.2869491797
33	0.2813369185
34	0.2741897772
35	0.2691227254
36	0.2636014013
37	0.2573427009
38	0.2512568839
39	0.2463595737
40	0.2429717149
41	0.239775227
42	0.2348224425
43	0.2308176795
44	0.2278972185
45	0.2234304994
46	0.2176073478
47	0.2130593572
48	0.2091591111
49	0.206971313
50	0.2018064106
51	0.1971659083
52	0.1942728577
53	0.1922176323
54	0.1878599087
55	0.185020561
56	0.1831334822
57	0.1807418045
58	0.179206519
59	0.1762917241
60	0.1722380958
61	0.168953067
62	0.1676085026
63	0.1652949091
64	0.1632124316
65	0.1609062347
66	0.1594421285
67	0.157961439
68	0.1562582601
69	0.1548336076
70	0.1521322937
71	0.1511448008
72	0.1499398195
73	0.1486583524
74	0.1474019992
75	0.1461065787
76	0.1443032586
77	0.1419575341
78	0.1403042521
79	0.1384963666
80	0.1369392096
81	0.1348188853
82	0.1342559435
83	0.1330113758
84	0.1312026154
85	0.1301696244
86	0.1289297401
87	0.1273884756
88	0.1267880213
89	0.126176078
90	0.1242151882
91	0.1227657972
92	0.1222012075
93	0.1210704507
94	0.1198413564
95	0.1191084036
96	0.1178946811
97	0.1170259734
98	0.1154306145
99	0.1141295842
