iter	Passed	Remaining
0	163	16154
1	177	8680
2	187	6076
3	198	4769
4	209	3971
5	219	3439
6	230	3056
7	240	2768
8	251	2538
9	261	2353
10	272	2204
11	283	2076
12	293	1967
13	304	1869
14	315	1785
15	325	1709
16	336	1640
17	346	1580
18	357	1524
19	367	1470
20	378	1422
21	388	1377
22	398	1335
23	409	1298
24	420	1262
25	430	1226
26	441	1193
27	451	1162
28	462	1131
29	472	1101
30	482	1074
31	493	1047
32	503	1022
33	514	998
34	525	975
35	535	951
36	545	929
37	556	907
38	567	887
39	577	866
40	588	846
41	598	826
42	608	807
43	619	788
44	629	769
45	640	751
46	650	733
47	661	716
48	671	698
49	681	681
50	692	665
51	702	648
52	712	632
53	725	617
54	735	602
55	746	586
56	756	570
57	766	554
58	776	539
59	786	524
60	797	509
61	807	495
62	818	480
63	828	466
64	838	451
65	849	437
66	860	423
67	870	409
68	881	395
69	891	382
70	902	368
71	913	355
72	923	341
73	934	328
74	944	314
75	955	301
76	965	288
77	977	275
78	987	262
79	998	249
80	1008	236
81	1019	223
82	1029	210
83	1040	198
84	1050	185
85	1061	172
86	1071	160
87	1082	147
88	1092	135
89	1102	122
90	1113	110
91	1123	97
92	1134	85
93	1144	73
94	1155	60
95	1165	48
96	1176	36
97	1186	24
98	1196	12
99	1207	0
