Timestamp,FPS,CPU (%),RAM (MB),GPU (%),Processed Frames,Total Frames
20:13:50,15.82,7.2,616.7,2.0,10,10
20:13:50,15.92,7.3,618.1,0.0,20,20
20:13:51,15.95,6.9,618.2,0.0,30,30
20:13:52,15.97,5.5,619.0,0.0,40,40
20:13:52,15.99,5.6,619.2,0.0,50,50
20:13:53,16.00,5.9,619.5,0.0,60,60
20:13:53,16.00,5.3,619.8,0.0,70,70
20:13:54,16.00,5.8,620.4,0.0,80,80
20:13:55,15.99,5.8,620.5,0.0,90,90
20:13:55,15.98,6.4,620.6,0.0,100,100
20:13:56,15.99,6.1,619.7,0.0,110,110
20:13:57,15.99,7.5,620.9,0.0,120,120
20:13:57,15.99,6.7,620.9,0.0,130,130
20:13:58,16.00,6.2,621.4,0.0,140,140
20:13:58,15.97,6.2,621.9,0.0,150,150
20:13:59,15.97,6.4,622.2,0.0,160,160
20:14:00,15.98,5.3,622.3,0.0,170,170
20:14:00,15.98,5.3,622.4,0.0,180,180
20:14:01,15.96,8.1,622.7,0.0,190,190
20:14:02,15.97,7.7,622.7,0.0,200,200
20:14:02,15.97,7.8,623.0,1.0,210,210
20:14:03,15.97,6.6,623.1,0.0,220,220
20:14:03,15.97,6.1,623.1,0.0,230,230
20:14:04,15.98,6.7,623.9,0.0,240,240
20:14:05,15.98,6.4,624.0,0.0,250,250
20:14:05,15.98,6.9,624.0,0.0,260,260
20:14:06,15.98,6.6,624.2,0.0,270,270
20:14:07,15.98,6.2,623.4,0.0,280,280
20:14:07,15.98,8.0,624.3,0.0,290,290
20:14:08,15.98,6.2,624.3,0.0,300,300
20:14:09,15.97,7.5,624.6,0.0,310,310
20:14:09,15.97,6.9,624.6,0.0,320,320
20:14:10,15.98,6.7,624.8,0.0,330,330
20:14:10,15.97,6.2,625.4,0.0,340,340
20:14:11,15.97,7.3,625.5,0.0,350,350
20:14:12,15.98,6.7,625.6,0.0,360,360
20:14:12,15.98,5.6,625.6,0.0,370,370
20:14:13,15.98,6.7,625.8,0.0,380,380
20:14:13,15.98,4.8,625.8,0.0,390,390
20:14:14,15.98,6.4,625.9,0.0,400,400
20:14:15,15.98,5.2,626.0,0.0,410,410
20:14:15,15.98,6.4,625.3,0.0,420,420
20:14:16,15.98,6.1,626.4,0.0,430,430
20:14:17,15.98,5.9,626.5,0.0,440,440
20:14:17,15.98,5.8,626.7,0.0,450,450
20:14:18,15.98,5.5,627.4,6.0,460,460
20:14:19,15.98,5.9,627.4,0.0,470,470
20:14:19,15.98,5.6,627.4,0.0,480,480
20:14:20,15.98,5.5,627.5,0.0,490,490
20:14:20,15.99,5.8,627.6,0.0,500,500
20:14:21,15.99,5.3,627.8,0.0,510,510
20:14:22,15.99,6.6,627.9,0.0,520,520
20:14:22,15.99,5.0,628.0,0.0,530,530
20:14:23,15.99,5.2,628.0,0.0,540,540
20:14:23,15.98,5.5,628.1,0.0,550,550
20:14:24,15.99,5.5,628.2,0.0,560,560
20:14:25,15.99,5.9,628.5,0.0,570,570
20:14:25,15.98,5.6,629.2,0.0,580,580
20:14:26,15.99,5.8,628.4,0.0,590,590
20:14:27,15.99,5.2,629.3,0.0,600,600
20:14:27,15.99,5.0,629.4,0.0,610,610
20:14:28,15.99,4.9,629.4,0.0,620,620
20:14:28,15.99,5.9,629.5,0.0,630,630
20:14:29,15.99,6.1,630.3,2.0,640,640
20:14:30,15.99,6.6,630.4,1.0,650,650
20:14:30,15.99,7.2,630.4,0.0,660,660
20:14:31,15.99,6.6,630.6,0.0,670,670
20:14:32,15.99,6.9,630.8,0.0,680,680
20:14:32,15.99,6.4,631.0,0.0,690,690
20:14:33,15.99,6.1,631.1,0.0,700,700
20:14:33,15.99,6.1,631.1,4.0,710,710
20:14:34,15.99,6.4,631.2,0.0,720,720
20:14:35,15.99,5.8,631.8,0.0,730,730
20:14:35,15.99,5.9,631.9,0.0,740,740
20:14:36,15.99,5.6,632.0,0.0,750,750
20:14:37,15.99,5.5,631.1,0.0,760,760
20:14:37,15.99,6.6,632.0,0.0,770,770
20:14:38,15.99,6.3,632.1,0.0,780,780
20:14:38,15.99,7.8,632.1,0.0,790,790
20:14:39,15.99,6.4,632.1,0.0,800,800
20:14:40,15.99,6.9,632.6,0.0,810,810
20:14:40,15.99,8.6,633.5,0.0,820,820
20:14:41,15.99,8.1,633.5,0.0,830,830
20:14:42,15.99,6.2,633.7,0.0,840,840
20:14:42,15.99,7.0,633.8,0.0,850,850
20:14:43,15.99,6.7,634.0,0.0,860,860
20:14:43,15.99,8.1,634.0,0.0,870,870
20:14:44,15.99,7.2,634.0,0.0,880,880
20:14:45,15.99,7.2,634.0,0.0,890,890
20:14:45,15.99,7.2,634.1,0.0,900,900
20:14:46,16.00,5.9,634.4,0.0,910,910
20:14:47,16.00,6.6,634.9,0.0,920,920
20:14:47,16.00,5.6,634.1,0.0,930,930
20:14:48,16.00,6.2,635.2,0.0,940,940
20:14:48,15.99,5.9,635.3,0.0,950,950
20:14:49,15.99,4.8,635.4,0.0,960,960
20:14:50,15.99,6.4,635.6,0.0,970,970
20:14:50,15.99,5.3,635.7,0.0,980,980
20:14:51,15.99,5.9,635.8,0.0,990,990
20:14:52,15.99,6.7,635.9,0.0,1000,1000
20:14:52,15.99,6.6,636.2,0.0,1010,1010
20:14:53,15.99,5.8,636.2,0.0,1020,1020
20:14:54,15.99,5.6,636.4,0.0,1030,1030
20:14:54,15.99,6.7,636.4,0.0,1040,1040
20:14:55,16.00,7.1,636.7,0.0,1050,1050
20:14:55,16.01,8.5,636.9,0.0,1060,1060
20:14:56,16.01,7.0,636.9,0.0,1070,1070
20:14:57,16.01,8.0,637.0,0.0,1080,1080
20:14:57,16.01,6.6,637.0,0.0,1090,1090
20:14:58,16.01,7.2,636.4,0.0,1100,1100
20:14:58,16.00,5.9,637.6,0.0,1110,1110
20:14:59,16.00,6.2,637.7,0.0,1120,1120
20:15:00,15.98,6.5,637.4,0.0,1130,1130
20:15:00,15.98,6.1,637.5,0.0,1140,1140
20:15:01,15.98,6.6,637.4,0.0,1150,1150
20:15:02,15.98,5.8,637.5,0.0,1160,1160
20:15:02,15.98,5.9,637.5,0.0,1170,1170
20:15:03,15.98,5.8,636.6,0.0,1180,1180
20:15:04,15.98,7.2,637.5,0.0,1190,1190
20:15:04,15.98,5.6,637.4,0.0,1200,1200
20:15:05,15.98,5.5,637.5,0.0,1210,1210
20:15:05,15.98,6.4,637.4,0.0,1220,1220
20:15:06,15.98,5.5,637.5,0.0,1230,1230
20:15:07,15.98,5.6,637.5,0.0,1240,1240
20:15:07,15.98,5.0,637.4,0.0,1250,1250
20:15:08,15.98,5.8,637.4,0.0,1260,1260
20:15:09,15.98,6.1,637.4,0.0,1270,1270
20:15:09,15.98,6.1,637.5,0.0,1280,1280
20:15:10,15.98,5.5,637.5,0.0,1290,1290
20:15:10,15.98,5.1,637.4,0.0,1300,1300
20:15:11,15.98,5.5,637.5,0.0,1310,1310
20:15:12,15.98,5.0,637.4,0.0,1320,1320
20:15:12,15.98,5.3,637.4,0.0,1330,1330
20:15:13,15.98,6.1,637.5,0.0,1340,1340
20:15:14,15.98,7.0,636.5,0.0,1350,1350
20:15:14,15.98,8.3,637.5,0.0,1360,1360
20:15:15,15.98,8.3,637.5,0.0,1370,1370
20:15:15,15.98,6.7,637.5,0.0,1380,1380
20:15:16,15.98,7.3,637.5,0.0,1390,1390
20:15:17,15.98,6.6,637.5,5.0,1400,1400
20:15:17,15.98,7.0,637.5,0.0,1410,1410
20:15:18,15.98,7.7,637.5,0.0,1420,1420
20:15:19,15.98,6.4,637.5,0.0,1430,1430
20:15:19,15.98,7.2,637.5,0.0,1440,1440
20:15:20,15.98,6.2,637.5,0.0,1450,1450
20:15:20,15.98,6.2,637.5,0.0,1460,1460
20:15:21,15.98,5.6,637.5,0.0,1470,1470
20:15:22,15.98,5.9,637.5,0.0,1480,1480
20:15:22,15.98,6.2,637.5,0.0,1490,1490
20:15:23,15.98,6.7,637.5,0.0,1500,1500
