Timestamp,FPS,CPU (%),RAM (MB),GPU (%),Processed Frames,Total Frames
16:59:09,53.23,32.4,584.4,11.0,10,10
16:59:09,57.97,6.3,584.4,5.0,20,20
16:59:09,58.14,5.7,584.4,4.0,30,30
16:59:10,59.30,6.2,584.4,4.0,40,40
16:59:10,60.32,6.3,584.4,6.0,50,50
16:59:10,60.88,6.3,584.4,5.0,60,60
16:59:10,61.27,6.3,584.4,1.0,70,70
16:59:10,61.70,6.2,584.4,0.0,80,80
16:59:10,61.86,6.3,584.4,1.0,90,90
16:59:10,62.07,6.3,584.4,0.0,100,100
16:59:11,62.27,6.3,584.4,1.0,110,110
16:59:11,61.92,5.7,584.4,0.0,120,120
16:59:11,62.06,6.3,584.4,1.0,130,130
16:59:11,62.21,6.2,584.4,1.0,140,140
16:59:11,62.30,6.3,584.4,0.0,150,150
16:59:11,62.42,6.3,583.5,1.0,160,160
16:59:12,62.49,6.3,584.4,0.0,170,170
16:59:12,62.54,6.2,584.4,1.0,180,180
16:59:12,62.65,6.3,584.4,1.0,190,190
16:59:12,62.71,6.3,584.4,0.0,200,200
16:59:12,62.76,6.3,584.4,0.0,210,210
16:59:12,62.82,6.2,584.4,0.0,220,220
16:59:12,62.86,6.3,584.4,1.0,230,230
16:59:13,62.89,6.3,584.4,0.0,240,240
16:59:13,62.92,6.3,584.4,1.0,250,250
16:59:13,62.94,6.2,584.4,0.0,260,260
16:59:13,62.99,6.3,584.4,0.0,270,270
16:59:13,63.03,6.3,584.4,1.0,280,280
16:59:13,63.06,6.3,584.4,0.0,290,290
16:59:14,63.07,5.7,584.4,0.0,300,300
16:59:14,63.09,6.2,584.4,1.0,310,310
16:59:14,63.12,8.8,584.4,0.0,320,320
16:59:14,63.15,6.3,583.5,1.0,330,330
16:59:14,63.17,6.3,584.4,0.0,340,340
16:59:14,63.21,6.9,584.4,1.0,350,350
16:59:15,63.22,5.7,584.4,0.0,360,360
16:59:15,63.24,6.3,584.4,0.0,370,370
16:59:15,63.25,8.1,584.4,1.0,380,380
16:59:15,63.26,5.6,584.4,0.0,390,390
16:59:15,63.26,1.2,584.4,1.0,400,400
16:59:15,63.30,3.8,584.4,0.0,410,410
16:59:15,63.32,4.4,584.4,0.0,420,420
16:59:16,63.17,0.6,584.4,0.0,430,430
16:59:16,63.17,0.0,583.5,1.0,440,440
16:59:16,63.19,3.7,584.4,0.0,450,450
16:59:16,63.21,8.8,584.4,1.0,460,460
16:59:16,63.07,5.7,584.4,0.0,470,470
16:59:16,63.10,6.3,584.4,0.0,480,480
16:59:17,62.77,5.3,584.4,0.0,490,490
16:59:17,62.76,6.3,584.4,1.0,500,500
16:59:17,62.78,6.2,584.4,0.0,510,510
16:59:17,62.71,1.7,584.4,0.0,520,520
16:59:17,62.75,0.0,584.4,0.0,530,530
16:59:17,62.76,0.0,584.4,1.0,540,540
16:59:18,62.79,2.5,584.4,0.0,550,550
16:59:18,62.80,0.0,584.4,0.0,560,560
16:59:18,62.82,0.6,584.4,1.0,570,570
16:59:18,62.84,2.5,584.4,0.0,580,580
16:59:18,62.86,1.2,584.4,1.0,590,590
16:59:18,62.86,3.7,584.4,0.0,600,600
16:59:19,62.88,14.4,583.5,1.0,610,610
16:59:19,62.80,17.0,584.4,0.0,620,620
16:59:19,62.82,9.4,584.4,0.0,630,630
16:59:19,62.83,7.5,584.4,0.0,640,640
16:59:19,62.85,8.1,584.4,0.0,650,650
16:59:19,62.86,7.5,584.4,1.0,660,660
16:59:19,62.88,8.1,584.4,0.0,670,670
16:59:20,62.91,5.6,584.4,1.0,680,680
16:59:20,62.91,6.9,584.4,0.0,690,690
16:59:20,62.93,8.7,584.4,0.0,700,700
16:59:20,62.87,7.4,584.4,0.0,710,710
16:59:20,62.87,7.5,584.4,0.0,720,720
16:59:20,62.89,6.3,584.4,1.0,730,730
16:59:21,62.90,6.3,584.4,0.0,740,740
16:59:21,62.91,6.2,584.4,1.0,750,750
16:59:21,62.91,6.3,584.4,0.0,760,760
16:59:21,62.93,6.3,584.4,0.0,770,770
16:59:21,62.94,6.3,583.6,1.0,780,780
16:59:21,62.95,6.2,584.5,0.0,790,790
16:59:22,62.96,6.3,584.5,0.0,800,800
16:59:22,62.97,6.3,584.5,0.0,810,810
16:59:22,62.90,5.7,584.5,1.0,820,820
16:59:22,62.91,6.3,584.5,0.0,830,830
16:59:22,62.92,5.7,584.5,1.0,840,840
16:59:22,62.93,6.3,584.5,0.0,850,850
16:59:22,62.94,6.2,584.5,0.0,860,860
16:59:23,62.95,8.1,584.5,0.0,870,870
16:59:23,62.96,10.0,584.5,0.0,880,880
16:59:23,62.96,0.6,584.5,0.0,890,890
16:59:23,62.98,0.0,584.5,0.0,900,900
16:59:23,62.99,1.2,584.5,1.0,910,910
16:59:23,63.00,10.0,584.5,0.0,920,920
16:59:24,63.02,10.0,584.5,0.0,930,930
16:59:24,63.03,9.3,584.5,1.0,940,940
16:59:24,63.03,8.1,583.6,0.0,950,950
16:59:24,63.04,1.9,584.5,1.0,960,960
16:59:24,63.04,0.6,584.5,0.0,970,970
16:59:24,63.06,0.6,584.5,0.0,980,980
16:59:25,63.06,0.0,584.5,0.0,990,990
