Timestamp,FPS,CPU (%),RAM (MB),GPU (%),Hand Detected
17:55:01,43.13,4.6,537.5,13.0,Hand Detected
17:55:01,49.62,9.7,538.7,11.0,Hand Detected
17:55:01,53.37,6.3,538.8,7.0,Hand Detected
17:55:02,53.47,5.2,538.8,9.0,Hand Detected
17:55:02,55.20,6.3,538.9,8.0,Hand Detected
17:55:02,56.49,5.6,539.3,6.0,Hand Detected
17:55:02,57.43,6.2,539.4,5.0,Hand Detected
17:55:02,57.51,5.7,539.5,4.0,Hand Detected
17:55:02,58.09,5.6,539.5,7.0,Hand Detected
17:55:03,58.10,5.7,539.5,3.0,Hand Detected
17:55:03,58.54,6.3,539.5,5.0,Hand Detected
17:55:03,58.44,5.2,539.6,1.0,Hand Detected
17:55:03,58.88,6.9,540.5,3.0,Hand Detected
17:55:03,59.20,6.3,539.6,2.0,Hand Detected
17:55:03,59.48,6.3,540.5,1.0,Hand Detected
17:55:03,59.70,9.7,540.5,1.0,Hand Detected
17:55:04,59.95,7.5,539.7,1.0,Hand Detected
17:55:04,60.16,11.3,540.7,1.0,Hand Detected
17:55:04,60.34,6.3,540.6,1.0,Hand Detected
17:55:04,60.24,6.2,539.8,1.0,Hand Detected
17:55:04,60.17,6.3,541.1,1.0,Hand Detected
17:55:04,60.36,6.3,540.1,1.0,Hand Detected
17:55:05,60.47,4.5,541.1,2.0,Hand Detected
17:55:05,60.61,5.6,541.0,1.0,Hand Detected
17:55:05,60.73,6.3,540.1,2.0,Hand Detected
17:55:05,60.81,7.5,541.1,1.0,Hand Detected
17:55:05,60.72,0.6,540.1,1.0,Hand Detected
17:55:05,60.82,0.0,541.1,1.0,Hand Detected
17:55:06,60.91,0.0,541.0,1.0,Hand Detected
17:55:06,60.82,0.0,541.1,0.0,Hand Detected
17:55:06,60.73,1.1,541.1,3.0,Hand Detected
17:55:06,60.81,15.0,540.2,1.0,Hand Detected
17:55:06,60.72,7.4,541.1,2.0,Hand Detected
17:55:06,60.79,6.2,541.1,1.0,Hand Detected
17:55:07,60.89,6.3,541.1,1.0,Hand Detected
17:55:07,60.96,6.3,541.2,2.0,Hand Detected
17:55:07,61.04,6.3,541.1,1.0,Hand Detected
17:55:07,61.12,6.2,541.1,2.0,Hand Detected
17:55:07,61.20,6.3,540.2,1.0,Hand Detected
17:55:07,61.27,10.0,540.2,1.0,Hand Detected
17:55:07,61.32,5.6,540.3,1.0,Hand Detected
17:55:08,61.36,6.2,541.1,3.0,Hand Detected
17:55:08,61.41,6.3,541.1,1.0,Hand Detected
17:55:08,61.48,6.3,541.2,2.0,Hand Detected
17:55:08,61.53,6.3,541.1,1.0,Hand Detected
17:55:08,61.46,6.2,541.2,1.0,Hand Detected
17:55:08,61.48,6.3,541.1,1.0,Hand Detected
17:55:09,61.52,5.0,541.1,2.0,Hand Detected
17:55:09,61.22,6.3,541.1,0.0,Hand Detected
17:55:09,61.25,5.7,541.1,1.0,Hand Detected
17:55:09,61.31,7.0,541.1,1.0,Hand Detected
