Timestamp,FPS,CPU (%),RAM (MB),GPU (%),Processed Frames,Total Frames
18:06:50,37.34,0.7,568.4,13.0,1,10
18:06:50,33.61,25.9,569.2,2.0,2,20
18:06:50,33.16,32.9,569.2,3.0,3,30
18:06:51,32.18,30.7,569.2,0.0,5,40
18:06:51,32.72,46.9,569.2,0.0,6,50
18:06:51,32.26,48.5,569.2,0.0,7,60
18:06:52,32.17,31.5,569.2,0.0,8,70
18:06:52,31.76,34.4,569.2,0.0,10,80
18:06:52,31.89,38.2,569.2,0.0,11,90
18:06:53,31.88,46.8,569.2,0.0,12,100
18:06:53,31.87,38.8,569.3,0.0,13,110
18:06:53,31.63,29.8,569.3,0.0,15,120
18:06:54,31.66,47.3,569.3,0.0,16,130
18:06:54,31.66,20.3,569.3,0.0,17,140
18:06:54,31.58,31.0,569.4,0.0,18,150
18:06:55,31.45,31.8,569.4,0.0,20,160
18:06:55,31.44,50.4,569.5,0.0,21,170
18:06:55,31.48,46.8,569.5,0.0,22,180
18:06:55,31.50,27.5,569.5,0.0,23,190
18:06:56,31.40,29.8,569.5,0.0,25,200
18:06:56,31.55,37.9,569.6,0.0,26,210
18:06:56,31.45,30.9,569.6,0.0,27,220
18:06:57,31.40,32.2,569.6,0.0,28,230
18:06:57,31.31,32.1,569.6,0.0,30,240
18:06:57,31.39,48.7,569.7,0.0,31,250
18:06:58,31.42,18.8,569.7,0.0,32,260
18:06:58,31.34,27.1,569.7,0.0,33,270
18:06:58,31.23,28.5,569.8,0.0,35,280
18:06:59,31.33,46.9,569.8,0.0,36,290
18:06:59,31.35,50.0,569.8,0.0,37,300
18:06:59,31.36,27.8,569.8,0.0,38,310
18:07:00,31.27,5.4,569.9,0.0,40,320
18:07:00,31.35,40.1,569.9,0.0,41,330
18:07:00,31.37,50.5,569.9,0.0,42,340
18:07:01,31.38,32.5,569.9,0.0,43,350
18:07:01,31.29,31.2,570.0,0.0,45,360
18:07:01,31.36,29.6,570.0,0.0,46,370
18:07:02,31.33,26.5,570.0,0.0,47,380
18:07:02,31.34,32.1,569.1,0.0,48,390
18:07:02,31.29,33.3,569.1,0.0,50,400
18:07:03,31.34,44.7,569.1,0.0,51,410
18:07:03,31.32,45.3,569.2,0.0,52,420
18:07:03,31.33,31.3,569.2,0.0,53,430
18:07:04,31.24,29.8,569.2,0.0,55,440
18:07:04,31.29,50.4,569.2,0.0,56,450
18:07:04,31.30,17.9,569.3,0.0,57,460
18:07:04,31.25,30.1,569.3,0.0,58,470
18:07:05,31.20,0.8,569.3,0.0,60,480
18:07:05,31.26,36.1,569.3,0.0,61,490
18:07:05,31.24,31.9,569.4,0.0,62,500
18:07:06,31.26,31.5,569.4,0.0,63,510
18:07:06,31.20,0.8,569.5,0.0,65,520
18:07:06,31.26,36.1,569.5,0.0,66,530
18:07:07,31.24,31.0,569.5,0.0,67,540
18:07:07,31.22,29.5,569.5,0.0,68,550
18:07:07,31.19,33.9,569.6,0.0,70,560
18:07:08,31.20,45.9,569.6,0.0,71,570
18:07:08,31.22,46.6,569.6,0.0,72,580
18:07:08,31.25,34.9,570.5,0.0,73,590
18:07:09,31.25,31.6,570.6,0.0,75,600
18:07:09,31.26,14.7,570.6,0.0,76,610
18:07:09,31.26,19.1,570.6,0.0,77,620
18:07:10,31.28,32.5,570.6,0.0,78,630
18:07:10,31.23,0.9,570.7,0.0,80,640
18:07:10,31.28,29.9,570.7,0.0,81,650
18:07:11,31.25,29.2,570.7,0.0,82,660
18:07:11,31.26,0.9,570.7,0.0,83,670
18:07:11,31.22,30.5,570.8,0.0,85,680
18:07:12,31.21,17.0,570.8,0.0,86,690
18:07:12,31.22,47.1,570.8,0.0,87,700
18:07:12,31.22,28.5,570.8,0.0,88,710
18:07:13,31.19,0.8,570.8,0.0,90,720
18:07:13,31.22,36.1,570.8,0.0,91,730
18:07:13,31.22,30.1,570.8,0.0,92,740
18:07:13,31.23,0.3,570.8,0.0,93,750
18:07:14,31.19,28.6,570.8,0.0,95,760
18:07:14,31.23,15.6,570.8,0.0,96,770
18:07:14,31.24,51.2,570.8,0.0,97,780
18:07:15,31.24,0.3,570.8,0.0,98,790
18:07:15,31.20,28.5,570.8,0.0,100,800
18:07:15,31.23,30.2,570.8,0.0,101,810
18:07:16,31.22,28.0,570.8,0.0,102,820
18:07:16,31.23,31.9,570.8,0.0,103,830
18:07:16,31.19,28.8,570.8,0.0,105,840
18:07:17,31.22,37.2,570.8,0.0,106,850
18:07:17,31.22,32.2,570.8,0.0,107,860
18:07:17,31.22,31.6,570.8,0.0,108,870
18:07:18,31.19,0.8,570.8,0.0,110,880
18:07:18,31.22,51.4,570.8,0.0,111,890
18:07:18,31.23,51.2,570.8,0.0,112,900
18:07:19,31.24,0.0,570.8,0.0,113,910
18:07:19,31.20,33.9,570.8,0.0,115,920
18:07:19,31.22,43.4,570.8,0.0,116,930
18:07:20,31.23,18.5,570.8,0.0,117,940
18:07:20,31.21,32.1,570.8,0.0,118,950
18:07:20,31.18,31.9,570.8,0.0,120,960
18:07:21,31.21,39.8,570.8,0.0,121,970
18:07:21,31.22,56.8,570.8,0.0,122,980
18:07:21,31.22,0.0,570.8,0.0,123,990
18:07:22,31.19,32.5,570.8,0.0,125,1000
18:07:22,31.22,47.6,570.8,0.0,126,1010
18:07:22,31.21,50.6,570.8,0.0,127,1020
18:07:22,31.22,31.6,570.8,0.0,128,1030
18:07:23,31.19,0.8,570.8,0.0,130,1040
18:07:23,31.22,34.5,570.8,0.0,131,1050
18:07:23,31.21,32.9,570.8,0.0,132,1060
18:07:24,31.22,31.5,570.8,0.0,133,1070
18:07:24,31.19,31.3,570.8,0.0,135,1080
18:07:24,31.21,45.0,570.8,0.0,136,1090
18:07:25,31.21,14.0,570.8,0.0,137,1100
18:07:25,31.21,32.5,570.8,0.0,138,1110
18:07:25,31.20,29.0,570.8,0.0,140,1120
18:07:26,31.21,14.1,570.8,0.0,141,1130
18:07:26,31.22,51.2,570.8,0.0,142,1140
18:07:26,31.22,29.5,570.8,0.0,143,1150
18:07:27,31.21,33.0,570.8,0.0,145,1160
