Timestamp,FPS,CPU (%),RAM (MB),GPU (%),Processed Frames,Total Frames
15:38:55,32.15,0.6,570.3,8.0,1,10
15:38:56,31.25,31.6,569.6,3.0,2,20
15:38:56,31.52,31.8,569.5,2.0,3,30
15:38:56,30.74,28.6,569.5,0.0,5,40
15:38:57,31.44,51.8,569.6,0.0,6,50
15:38:57,31.53,50.5,569.6,0.0,7,60
15:38:57,31.59,32.9,569.6,0.0,8,70
15:38:58,31.28,34.4,569.6,0.0,10,80
15:38:58,31.52,44.7,569.6,0.0,11,90
15:38:58,31.42,48.5,569.6,0.0,12,100
15:38:59,31.47,33.2,569.6,0.0,13,110
15:38:59,31.27,33.5,569.6,0.0,15,120
15:38:59,31.33,47.1,569.6,0.0,16,130
15:39:00,31.32,14.1,569.6,0.0,17,140
15:39:00,31.29,27.4,569.6,0.0,18,150
15:39:00,31.16,33.8,569.6,0.0,20,160
15:39:01,31.36,45.2,569.7,0.0,21,170
15:39:01,31.30,49.4,569.6,0.0,22,180
15:39:01,31.32,31.5,569.6,0.0,23,190
15:39:02,31.10,30.5,569.6,0.0,25,200
15:39:02,31.23,30.6,569.6,0.0,26,210
15:39:02,31.19,32.5,569.6,0.0,27,220
15:39:03,31.22,33.5,569.6,0.0,28,230
15:39:03,31.07,29.0,569.6,0.0,30,240
15:39:03,31.18,49.3,569.6,0.0,31,250
15:39:04,31.20,18.2,569.6,0.0,32,260
15:39:04,31.18,31.6,569.6,0.0,33,270
15:39:04,31.14,31.3,569.6,0.0,35,280
15:39:04,31.19,49.0,569.6,0.0,36,290
15:39:05,31.17,45.0,569.6,0.0,37,300
15:39:05,31.14,29.8,569.6,0.0,38,310
15:39:05,31.06,0.6,569.6,0.0,40,320
15:39:06,31.11,53.6,569.6,0.0,41,330
15:39:06,31.09,44.7,569.6,0.0,42,340
15:39:06,31.11,32.9,569.7,0.0,43,350
15:39:07,31.02,33.4,569.7,0.0,45,360
15:39:07,31.08,29.9,569.7,0.0,46,370
15:39:07,31.07,31.3,569.7,0.0,47,380
