Timestamp,FPS,CPU (%),RAM (MB),GPU (%),Processed Frames,Total Frames
17:41:42,31.53,3.4,561.1,6.0,10,10
17:41:43,31.75,3.4,564.0,3.0,20,20
17:41:43,31.85,1.9,564.2,12.0,30,30
17:41:43,32.68,6.3,564.2,0.0,40,40
17:41:43,33.88,4.3,564.3,0.0,50,50
17:41:44,33.56,3.4,564.3,0.0,60,60
17:41:44,34.36,5.1,564.6,1.0,70,70
17:41:44,34.51,5.9,564.6,0.0,80,80
17:41:45,34.86,4.0,564.7,0.0,90,90
17:41:45,34.90,5.9,564.7,1.0,100,100
17:41:45,35.34,4.7,564.7,0.0,110,110
17:41:45,35.67,5.5,564.7,0.0,120,120
17:41:46,35.65,4.2,564.7,1.0,130,130
17:41:46,35.80,4.4,564.7,0.0,140,140
17:41:46,35.64,3.0,564.7,0.0,150,150
17:41:46,35.65,4.2,564.7,0.0,160,160
17:41:47,35.55,3.6,564.7,0.0,170,170
17:41:47,35.33,4.4,564.7,1.0,180,180
17:41:47,35.13,3.4,564.8,0.0,190,190
17:41:48,35.08,3.3,564.8,3.0,200,200
17:41:48,35.11,3.7,564.8,0.0,210,210
17:41:48,34.97,3.1,564.8,0.0,220,220
17:41:49,35.00,3.5,564.8,2.0,230,230
17:41:49,35.10,3.7,564.8,1.0,240,240
17:41:49,35.11,3.1,564.8,0.0,250,250
17:41:49,35.13,3.5,564.8,1.0,260,260
17:41:50,35.08,3.3,564.8,1.0,270,270
17:41:50,35.17,3.7,564.8,0.0,280,280
17:41:50,35.24,3.3,564.8,0.0,290,290
17:41:50,35.26,3.5,564.8,1.0,300,300
17:41:51,35.27,4.9,564.8,0.0,310,310
17:41:51,35.35,3.3,564.8,0.0,320,320
17:41:51,35.41,3.7,564.8,1.0,330,330
17:41:52,35.42,3.1,564.8,3.0,340,340
17:41:52,35.53,3.9,564.8,0.0,350,350
17:41:52,35.47,3.3,564.8,0.0,360,360
17:41:52,35.40,3.3,564.9,0.0,370,370
17:41:53,35.42,3.5,564.9,1.0,380,380
17:41:53,35.42,3.5,564.9,0.0,390,390
17:41:53,35.33,3.1,564.9,0.0,400,400
17:41:54,35.48,4.2,564.9,2.0,410,410
17:41:54,35.51,3.7,564.9,0.0,420,420
17:41:54,35.56,3.5,564.9,0.0,430,430
17:41:54,35.56,3.3,564.9,0.0,440,440
17:41:55,35.52,3.1,564.9,0.0,450,450
17:41:55,35.47,3.0,564.9,5.0,460,460
17:41:55,35.47,3.1,564.9,2.0,470,470
17:41:56,35.39,3.1,564.9,2.0,480,480
17:41:56,35.56,8.2,564.9,0.0,490,490
17:41:56,35.59,3.8,564.9,0.0,500,500
17:41:56,35.55,5.3,564.9,0.0,510,510
17:41:57,35.55,4.8,564.9,0.0,520,520
17:41:57,35.48,3.1,564.9,0.0,530,530
17:41:57,35.49,3.7,564.9,0.0,540,540
17:41:57,35.45,2.8,564.9,1.0,550,550
17:41:58,35.39,3.3,564.9,0.0,560,560
17:41:58,35.46,3.9,564.9,2.0,570,570
17:41:58,35.53,3.5,564.9,0.0,580,580
17:41:59,35.50,3.3,564.9,0.0,590,590
17:41:59,35.50,3.1,564.9,0.0,600,600
17:41:59,35.53,3.7,564.9,1.0,610,610
17:41:59,35.47,3.1,564.9,0.0,620,620
17:42:00,35.45,3.0,564.9,3.0,630,630
17:42:00,35.42,3.3,564.9,0.0,640,640
17:42:00,35.39,3.3,564.9,1.0,650,650
17:42:01,35.39,3.5,564.9,2.0,660,660
17:42:01,35.43,4.0,564.9,0.0,670,670
17:42:01,35.48,4.3,564.9,3.0,680,680
17:42:01,35.46,5.9,564.9,0.0,690,690
17:42:02,35.48,3.7,564.9,0.0,700,700
17:42:02,35.54,3.9,564.9,1.0,710,710
17:42:02,35.62,4.2,564.9,0.0,720,720
17:42:02,35.59,3.0,564.9,0.0,730,730
17:42:03,35.61,3.5,564.9,0.0,740,740
17:42:03,35.67,3.8,564.9,1.0,750,750
17:42:03,35.69,3.7,564.9,3.0,760,760
17:42:04,35.66,3.1,564.9,0.0,770,770
17:42:04,35.69,3.9,564.9,0.0,780,780
17:42:04,35.76,3.9,564.9,1.0,790,790
17:42:04,35.73,3.5,564.9,0.0,800,800
17:42:05,35.71,3.0,564.9,1.0,810,810
17:42:05,35.68,3.0,564.9,0.0,820,820
17:42:05,35.66,3.3,564.9,3.0,830,830
17:42:05,35.70,3.7,564.9,0.0,840,840
17:42:06,35.67,3.3,564.9,0.0,850,850
17:42:06,35.65,3.5,564.9,0.0,860,860
17:42:06,35.62,3.1,564.9,0.0,870,870
17:42:07,35.61,3.5,564.9,0.0,880,880
17:42:07,35.56,3.1,564.9,4.0,890,890
17:42:07,35.63,4.2,564.9,2.0,900,900
17:42:07,35.64,3.5,564.9,1.0,910,910
17:42:08,35.62,3.3,564.9,3.0,920,920
17:42:08,35.60,3.0,564.9,0.0,930,930
17:42:08,35.60,3.7,564.9,1.0,940,940
17:42:09,35.68,4.2,564.9,2.0,950,950
17:42:09,35.66,3.3,564.9,0.0,960,960
17:42:09,35.64,3.5,564.9,0.0,970,970
17:42:09,35.60,3.0,564.9,0.0,980,980
17:42:10,35.58,3.3,564.9,3.0,990,990
17:42:10,35.58,3.7,564.9,1.0,1000,1000
17:42:10,35.58,3.5,564.9,1.0,1010,1010
17:42:11,35.60,3.7,564.9,1.0,1020,1020
17:42:11,35.60,3.5,564.9,0.0,1030,1030
17:42:11,35.58,3.3,565.0,2.0,1040,1040
17:42:11,35.63,4.3,565.0,0.0,1050,1050
17:42:12,35.64,4.4,565.0,1.0,1060,1060
17:42:12,35.64,3.1,565.0,0.0,1070,1070
17:42:12,35.63,3.5,565.0,3.0,1080,1080
17:42:13,35.65,3.7,565.0,1.0,1090,1090
17:42:13,35.67,3.7,565.0,0.0,1100,1100
17:42:13,35.65,3.3,565.0,3.0,1110,1110
17:42:13,35.62,3.8,565.0,2.0,1120,1120
17:42:14,35.60,4.6,565.0,0.0,1130,1130
17:42:14,35.60,4.5,565.0,2.0,1140,1140
17:42:14,35.60,3.5,565.0,2.0,1150,1150
17:42:15,35.62,4.8,565.0,1.0,1160,1160
17:42:15,35.60,3.3,565.0,0.0,1170,1170
17:42:15,35.59,3.5,565.0,0.0,1180,1180
17:42:15,35.59,3.5,565.0,2.0,1190,1190
17:42:16,35.56,2.8,565.0,3.0,1200,1200
