Timestamp,FPS,CPU (%),RAM (MB),GPU (%),Processed Frames,Total Frames
20:07:23,30.44,63.4,572.9,7.0,10,10
20:07:24,31.23,60.5,572.9,4.0,20,20
20:07:24,31.11,59.0,571.9,4.0,30,30
20:07:24,31.36,59.2,572.9,1.0,40,40
20:07:24,31.56,64.4,572.9,1.0,50,50
20:07:25,31.86,60.2,572.8,1.0,60,60
20:07:25,31.83,58.4,572.9,0.0,70,70
20:07:25,31.74,63.6,572.9,0.0,80,80
20:07:26,31.78,61.7,572.8,1.0,90,90
20:07:26,31.79,61.5,572.9,1.0,100,100
20:07:26,31.79,61.0,572.8,1.0,110,110
20:07:27,31.88,57.7,572.8,2.0,120,120
20:07:27,31.84,64.5,572.9,2.0,130,130
20:07:27,31.91,58.0,572.0,2.0,140,140
20:07:28,31.87,63.5,572.9,2.0,150,150
20:07:28,31.96,61.2,572.9,3.0,160,160
20:07:28,31.90,58.1,572.9,0.0,170,170
20:07:28,31.94,58.0,572.8,1.0,180,180
20:07:29,31.97,63.0,572.9,3.0,190,190
20:07:29,31.94,56.7,572.9,2.0,200,200
20:07:29,31.94,59.5,572.9,1.0,210,210
20:07:30,31.98,62.1,572.8,5.0,220,220
20:07:30,31.93,56.6,572.8,2.0,230,230
20:07:30,31.96,63.8,572.9,2.0,240,240
20:07:31,31.97,60.7,572.0,3.0,250,250
20:07:31,31.93,61.4,572.9,1.0,260,260
20:07:31,31.95,57.3,572.8,1.0,270,270
20:07:32,31.96,59.9,572.8,1.0,280,280
20:07:32,31.95,58.8,572.9,1.0,290,290
20:07:32,31.99,62.8,572.8,4.0,300,300
20:07:33,31.96,56.6,572.8,1.0,310,310
20:07:33,31.97,64.8,572.0,3.0,320,320
20:07:33,31.97,57.5,572.8,3.0,330,330
20:07:33,31.99,62.5,572.9,1.0,340,340
20:07:34,31.99,59.5,572.9,2.0,350,350
20:07:34,32.00,56.2,572.9,2.0,360,360
20:07:34,31.99,62.0,572.8,2.0,370,370
20:07:35,31.96,56.4,572.9,1.0,380,380
20:07:35,31.99,62.7,572.9,3.0,390,390
20:07:35,31.98,59.3,572.9,1.0,400,400
20:07:36,32.00,56.7,572.8,1.0,410,410
20:07:36,31.97,59.1,572.9,1.0,420,420
20:07:36,31.99,63.0,572.0,2.0,430,430
20:07:37,31.98,60.5,572.9,1.0,440,440
20:07:37,32.01,57.0,572.9,2.0,450,450
20:07:37,31.99,63.3,572.9,1.0,460,460
20:07:38,32.01,58.5,572.8,3.0,470,470
20:07:38,32.01,60.8,572.9,1.0,480,480
20:07:38,31.99,64.2,572.8,1.0,490,490
20:07:38,32.02,59.5,572.9,2.0,500,500
20:07:39,32.00,56.9,572.8,5.0,510,510
20:07:39,32.01,61.1,572.9,1.0,520,520
20:07:39,32.01,62.6,572.9,2.0,530,530
20:07:40,32.00,59.3,572.0,1.0,540,540
20:07:40,32.00,60.4,572.9,2.0,550,550
20:07:40,32.01,62.8,572.8,1.0,560,560
20:07:41,32.02,59.6,572.9,2.0,570,570
20:07:41,32.02,59.5,572.8,3.0,580,580
20:07:41,32.01,56.0,572.9,1.0,590,590
20:07:42,32.02,62.5,572.8,1.0,600,600
20:07:42,32.00,56.6,572.9,1.0,610,610
20:07:42,32.00,59.0,572.8,1.0,620,620
20:07:43,32.01,59.5,572.9,1.0,630,630
20:07:43,32.01,62.5,572.9,1.0,640,640
20:07:43,32.03,56.5,572.0,2.0,650,650
20:07:43,32.02,60.1,572.8,2.0,660,660
20:07:44,32.02,61.1,572.9,2.0,670,670
20:07:44,32.01,59.5,572.8,2.0,680,680
20:07:44,32.01,58.0,572.9,2.0,690,690
20:07:45,32.02,56.0,572.8,2.0,700,700
20:07:45,32.01,63.4,572.9,2.0,710,710
20:07:45,32.02,63.5,571.9,1.0,720,720
20:07:46,32.02,57.7,572.8,2.0,730,730
20:07:46,32.01,64.2,572.9,1.0,740,740
20:07:46,32.02,61.1,572.8,1.0,750,750
20:07:47,32.03,57.0,572.9,2.0,760,760
20:07:47,32.02,62.1,572.8,2.0,770,770
20:07:47,32.02,64.8,572.9,2.0,780,780
20:07:48,32.02,57.1,572.8,3.0,790,790
20:07:48,32.02,62.3,572.9,1.0,800,800
20:07:48,32.01,62.7,572.8,2.0,810,810
20:07:48,32.01,59.5,572.9,1.0,820,820
20:07:49,32.02,57.4,572.0,3.0,830,830
20:07:49,32.02,62.6,572.9,4.0,840,840
20:07:49,32.01,64.0,572.8,1.0,850,850
20:07:50,32.01,61.4,572.8,1.0,860,860
20:07:50,32.01,62.4,572.8,4.0,870,870
20:07:50,32.02,58.5,572.9,2.0,880,880
20:07:51,32.02,65.2,572.8,1.0,890,890
20:07:51,32.02,57.3,572.9,2.0,900,900
20:07:51,32.02,59.6,572.8,0.0,910,910
20:07:52,32.02,63.5,572.9,1.0,920,920
20:07:52,32.02,59.3,572.9,2.0,930,930
20:07:52,32.01,64.8,572.0,0.0,940,940
20:07:53,32.02,57.7,572.9,1.0,950,950
20:07:53,32.02,61.4,572.8,2.0,960,960
20:07:53,32.02,63.5,572.9,1.0,970,970
20:07:53,32.02,60.5,572.9,0.0,980,980
20:07:54,32.02,61.0,572.9,3.0,990,990
20:07:54,32.02,58.4,572.9,0.0,1000,1000
20:07:54,31.99,63.1,572.9,1.0,1010,1010
20:07:55,32.00,57.1,572.9,0.0,1020,1020
20:07:55,31.99,61.7,572.9,1.0,1030,1030
20:07:55,32.00,58.3,572.8,0.0,1040,1040
20:07:56,32.00,67.0,572.9,0.0,1050,1050
20:07:56,32.00,53.7,572.9,1.0,1060,1060
20:07:56,31.99,63.9,572.8,1.0,1070,1070
20:07:57,31.99,60.5,572.9,1.0,1080,1080
20:07:57,32.00,60.7,572.9,0.0,1090,1090
20:07:57,32.00,57.7,572.8,2.0,1100,1100
20:07:58,32.00,61.7,572.9,2.0,1110,1110
20:07:58,32.00,60.2,572.9,3.0,1120,1120
20:07:58,32.00,61.0,572.8,0.0,1130,1130
20:07:58,32.00,59.9,572.9,2.0,1140,1140
20:07:59,32.00,60.4,572.8,1.0,1150,1150
20:07:59,32.00,63.6,572.9,1.0,1160,1160
20:07:59,32.00,58.2,572.9,1.0,1170,1170
20:08:00,31.99,63.0,571.9,1.0,1180,1180
20:08:00,32.00,61.4,572.8,1.0,1190,1190
20:08:00,32.00,60.5,572.9,1.0,1200,1200
20:08:01,32.00,57.3,572.9,1.0,1210,1210
20:08:01,32.01,63.1,572.9,2.0,1220,1220
20:08:01,32.00,57.2,572.0,0.0,1230,1230
20:08:02,32.00,64.0,572.9,1.0,1240,1240
20:08:02,32.01,59.8,572.9,2.0,1250,1250
20:08:02,32.01,60.1,572.9,3.0,1260,1260
20:08:03,32.00,57.2,572.9,1.0,1270,1270
20:08:03,32.01,64.1,572.0,2.0,1280,1280
20:08:03,32.00,59.9,572.8,2.0,1290,1290
20:08:03,32.00,57.2,572.9,2.0,1300,1300
20:08:04,32.00,60.7,572.9,2.0,1310,1310
20:08:04,32.00,64.0,572.9,1.0,1320,1320
20:08:04,32.00,57.3,572.9,0.0,1330,1330
20:08:05,32.00,63.6,572.8,0.0,1340,1340
20:08:05,32.00,57.0,572.9,2.0,1350,1350
20:08:05,32.00,62.7,572.9,0.0,1360,1360
20:08:06,32.00,61.0,572.9,1.0,1370,1370
20:08:06,32.01,59.5,572.8,2.0,1380,1380
20:08:06,32.00,58.4,572.9,0.0,1390,1390
20:08:07,32.00,60.5,572.9,1.0,1400,1400
20:08:07,32.01,59.2,572.9,2.0,1410,1410
20:08:07,32.00,61.3,572.9,1.0,1420,1420
20:08:08,32.00,60.7,572.9,4.0,1430,1430
20:08:08,32.00,58.3,572.9,2.0,1440,1440
20:08:08,32.01,63.1,572.9,2.0,1450,1450
20:08:08,32.01,59.2,572.8,1.0,1460,1460
20:08:09,32.00,57.2,572.9,3.0,1470,1470
20:08:09,32.00,63.0,572.8,3.0,1480,1480
20:08:09,32.00,60.2,572.9,2.0,1490,1490
20:08:10,32.01,60.1,572.9,2.0,1500,1500
20:08:10,32.00,59.0,572.9,2.0,1510,1510
20:08:10,32.01,64.4,572.9,2.0,1520,1520
20:08:11,32.00,56.3,572.8,2.0,1530,1530
20:08:11,32.00,63.6,572.8,1.0,1540,1540
20:08:11,32.00,57.3,572.8,0.0,1550,1550
20:08:12,32.00,56.2,572.9,1.0,1560,1560
20:08:12,32.00,62.5,572.8,1.0,1570,1570
20:08:12,32.00,60.4,572.9,0.0,1580,1580
20:08:13,32.00,60.7,572.8,1.0,1590,1590
20:08:13,32.00,58.7,572.9,1.0,1600,1600
20:08:13,32.00,63.2,572.9,0.0,1610,1610
20:08:13,32.00,62.1,572.9,2.0,1620,1620
20:08:14,32.00,57.3,572.9,1.0,1630,1630
20:08:14,32.00,63.6,572.9,2.0,1640,1640
20:08:14,32.00,60.7,572.9,1.0,1650,1650
20:08:15,32.00,61.5,572.9,1.0,1660,1660
20:08:15,32.00,58.8,572.0,1.0,1670,1670
20:08:15,32.00,63.6,572.9,1.0,1680,1680
20:08:16,32.00,57.9,572.9,1.0,1690,1690
20:08:16,32.00,60.5,572.9,0.0,1700,1700
20:08:16,32.00,63.9,572.9,1.0,1710,1710
20:08:17,32.00,60.2,572.0,1.0,1720,1720
20:08:17,32.00,58.5,572.8,2.0,1730,1730
20:08:17,32.00,58.7,572.9,0.0,1740,1740
20:08:18,31.99,59.5,572.9,1.0,1750,1750
20:08:18,31.99,59.0,572.8,1.0,1760,1760
