Timestamp,FPS,CPU (%),RAM (MB),GPU (%),Processed Frames,Total Frames
16:56:23,61.29,1.7,573.5,9.0,10,10
16:56:23,63.28,3.1,573.5,3.0,20,20
16:56:23,63.35,2.5,573.6,2.0,30,30
16:56:23,63.38,0.6,573.5,1.0,40,40
16:56:23,63.55,0.0,573.5,3.0,50,50
16:56:23,63.51,0.0,573.6,1.0,60,60
16:56:24,63.63,0.0,573.6,0.0,70,70
16:56:24,63.54,1.9,572.7,0.0,80,80
16:56:24,63.60,5.6,573.6,0.0,90,90
16:56:24,63.61,11.3,573.5,0.0,100,100
16:56:24,63.58,5.6,573.6,0.0,110,110
16:56:24,63.63,6.3,573.6,0.0,120,120
16:56:25,63.65,6.2,573.6,0.0,130,130
16:56:25,63.65,6.3,573.6,0.0,140,140
16:56:25,63.61,6.3,573.5,1.0,150,150
16:56:25,63.63,6.3,573.6,0.0,160,160
16:56:25,63.36,5.7,573.6,1.0,170,170
16:56:25,63.38,6.3,573.6,0.0,180,180
16:56:25,63.43,6.2,573.6,0.0,190,190
16:56:26,63.42,6.3,573.5,0.0,200,200
16:56:26,63.48,6.3,573.6,0.0,210,210
16:56:26,63.45,6.3,573.6,0.0,220,220
16:56:26,63.47,6.2,573.5,0.0,230,230
16:56:26,63.49,6.3,573.6,1.0,240,240
16:56:26,63.52,6.3,573.5,0.0,250,250
16:56:27,63.55,6.3,572.7,0.0,260,260
16:56:27,63.56,6.2,573.6,0.0,270,270
16:56:27,63.59,6.3,573.5,0.0,280,280
16:56:27,63.58,6.3,573.6,1.0,290,290
16:56:27,63.56,6.3,573.6,0.0,300,300
16:56:27,63.58,6.2,573.6,0.0,310,310
16:56:27,63.61,6.3,573.6,0.0,320,320
16:56:28,63.63,6.3,573.6,0.0,330,330
16:56:28,63.63,6.3,573.6,0.0,340,340
16:56:28,63.64,5.6,573.5,0.0,350,350
16:56:28,63.65,6.3,573.6,1.0,360,360
16:56:28,63.66,6.3,573.6,0.0,370,370
16:56:28,63.67,6.3,573.6,0.0,380,380
16:56:29,63.68,6.2,573.6,0.0,390,390
16:56:29,63.68,6.3,573.5,0.0,400,400
16:56:29,63.68,6.3,573.6,0.0,410,410
16:56:29,63.69,6.3,573.6,0.0,420,420
16:56:29,63.69,5.6,573.6,0.0,430,430
16:56:29,63.69,6.3,573.6,0.0,440,440
16:56:30,63.70,6.3,573.5,0.0,450,450
16:56:30,63.69,5.7,573.6,0.0,460,460
16:56:30,63.58,6.9,573.6,0.0,470,470
16:56:30,63.58,6.2,572.7,0.0,480,480
16:56:30,63.25,6.3,573.5,0.0,490,490
16:56:30,63.22,6.3,573.5,0.0,500,500
16:56:31,63.23,5.7,573.5,0.0,510,510
16:56:31,63.24,6.9,573.6,0.0,520,520
16:56:31,63.26,6.9,572.7,0.0,530,530
16:56:31,63.25,3.7,573.6,0.0,540,540
16:56:31,63.26,0.0,573.5,0.0,550,550
16:56:31,63.27,0.0,573.5,0.0,560,560
16:56:31,63.29,0.6,573.6,1.0,570,570
16:56:32,63.30,1.2,573.5,0.0,580,580
16:56:32,63.30,0.6,573.6,1.0,590,590
16:56:32,63.30,3.8,573.6,0.0,600,600
16:56:32,63.32,6.3,573.6,0.0,610,610
16:56:32,63.34,6.8,573.6,0.0,620,620
16:56:32,63.34,6.9,573.5,0.0,630,630
16:56:33,63.34,6.3,573.6,0.0,640,640
16:56:33,63.35,6.3,573.6,0.0,650,650
16:56:33,63.25,5.1,573.6,0.0,660,660
16:56:33,63.26,6.3,573.6,0.0,670,670
16:56:33,63.28,6.2,573.5,0.0,680,680
16:56:33,63.30,6.3,573.6,0.0,690,690
16:56:34,63.30,6.3,573.6,0.0,700,700
16:56:34,63.32,6.3,572.7,0.0,710,710
16:56:34,63.32,5.6,573.6,0.0,720,720
16:56:34,63.25,5.7,573.6,1.0,730,730
16:56:34,63.26,6.3,573.6,0.0,740,740
16:56:34,63.26,6.3,573.6,0.0,750,750
16:56:34,63.27,6.3,573.6,0.0,760,760
16:56:35,63.28,6.2,573.6,0.0,770,770
16:56:35,63.28,6.3,573.6,0.0,780,780
16:56:35,63.29,6.3,573.6,0.0,790,790
16:56:35,63.29,6.3,573.6,0.0,800,800
16:56:35,63.30,5.6,573.6,0.0,810,810
16:56:35,63.31,6.3,573.6,0.0,820,820
16:56:36,63.32,6.3,573.6,1.0,830,830
16:56:36,63.32,5.6,573.6,0.0,840,840
16:56:36,63.33,5.6,573.7,1.0,850,850
16:56:36,63.34,6.3,573.6,0.0,860,860
16:56:36,63.35,5.6,573.6,1.0,870,870
16:56:36,63.35,6.3,573.7,0.0,880,880
16:56:37,63.36,6.2,573.7,0.0,890,890
16:56:37,63.37,6.3,573.7,0.0,900,900
16:56:37,63.38,6.3,573.6,0.0,910,910
16:56:37,63.38,6.3,573.6,0.0,920,920
16:56:37,63.38,6.2,573.7,0.0,930,930
16:56:37,63.39,6.3,572.7,0.0,940,940
16:56:37,63.41,6.3,573.7,1.0,950,950
16:56:38,63.41,6.3,573.6,0.0,960,960
16:56:38,63.42,6.2,573.6,0.0,970,970
16:56:38,63.42,6.3,573.7,1.0,980,980
16:56:38,63.42,5.6,573.6,1.0,990,990
16:56:38,63.43,6.3,573.6,0.0,1000,1000
16:56:38,63.44,6.2,573.7,0.0,1010,1010
16:56:39,63.44,6.3,573.6,0.0,1020,1020
16:56:39,63.45,5.6,573.6,0.0,1030,1030
16:56:39,63.45,6.3,573.6,1.0,1040,1040
16:56:39,63.36,6.2,573.6,0.0,1050,1050
16:56:39,63.29,6.2,573.6,1.0,1060,1060
16:56:39,63.28,6.3,573.6,1.0,1070,1070
16:56:40,63.24,5.7,573.7,1.0,1080,1080
16:56:40,63.25,6.3,572.7,0.0,1090,1090
16:56:40,63.26,6.3,573.6,0.0,1100,1100
16:56:40,63.25,6.2,573.6,0.0,1110,1110
16:56:40,63.26,5.0,573.6,1.0,1120,1120
16:56:40,63.27,6.3,573.7,0.0,1130,1130
16:56:40,63.28,6.3,573.6,0.0,1140,1140
16:56:41,63.29,6.2,573.6,0.0,1150,1150
16:56:41,63.29,6.3,573.6,0.0,1160,1160
16:56:41,63.29,6.3,573.6,1.0,1170,1170
16:56:41,63.31,5.6,573.7,0.0,1180,1180
16:56:41,63.30,6.2,573.7,0.0,1190,1190
16:56:41,63.31,6.3,573.6,1.0,1200,1200
16:56:42,63.32,6.3,573.6,0.0,1210,1210
16:56:42,63.33,6.3,573.6,1.0,1220,1220
16:56:42,63.33,6.2,573.7,0.0,1230,1230
16:56:42,63.34,6.3,573.6,1.0,1240,1240
16:56:42,63.35,6.3,572.8,0.0,1250,1250
16:56:42,63.35,5.6,573.6,0.0,1260,1260
16:56:43,63.34,5.6,573.7,1.0,1270,1270
16:56:43,63.34,8.0,573.7,0.0,1280,1280
16:56:43,63.35,11.2,573.7,1.0,1290,1290
16:56:43,63.36,8.8,573.6,1.0,1300,1300
16:56:43,63.36,6.2,573.6,0.0,1310,1310
16:56:43,63.31,7.3,573.6,0.0,1320,1320
16:56:43,63.32,6.3,573.6,1.0,1330,1330
16:56:44,63.32,0.0,573.7,1.0,1340,1340
