Timestamp,FPS,CPU (%),RAM (MB),GPU (%),Processed Frames,Total Frames
15:40:48,34.33,0.7,575.5,6.0,1,10
15:40:48,33.09,1.2,576.8,1.0,2,20
15:40:49,32.75,0.3,576.8,1.0,3,30
15:40:49,32.01,0.6,576.8,0.0,5,40
15:40:49,32.40,0.3,576.8,0.0,6,50
15:40:49,32.31,0.3,576.8,0.0,7,60
15:40:50,32.23,0.3,576.8,0.0,8,70
15:40:50,31.95,0.6,576.8,0.0,10,80
15:40:50,32.23,0.7,576.8,0.0,11,90
15:40:51,32.17,0.3,576.8,0.0,12,100
15:40:51,32.16,0.3,576.8,0.0,13,110
15:40:51,32.05,0.6,576.8,0.0,15,120
15:40:52,32.15,0.3,576.8,0.0,16,130
15:40:52,32.12,0.3,576.8,0.0,17,140
15:40:52,32.00,0.6,576.8,0.0,18,150
15:40:53,31.83,0.8,576.8,0.0,20,160
15:40:53,31.91,0.7,576.8,0.0,21,170
15:40:53,31.92,0.3,576.8,0.0,22,180
15:40:54,31.83,0.6,576.8,0.0,23,190
15:40:54,31.78,0.6,576.8,0.0,25,200
15:40:54,31.85,0.3,576.8,0.0,26,210
15:40:55,31.78,0.6,576.8,0.0,27,220
15:40:55,31.79,0.6,575.8,0.0,28,230
15:40:55,31.67,0.9,575.8,0.0,30,240
15:40:55,31.75,0.3,575.8,0.0,31,250
15:40:56,31.73,0.6,575.8,0.0,32,260
15:40:56,31.68,1.8,575.9,0.0,33,270
15:40:56,31.61,1.8,575.9,0.0,35,280
15:40:57,31.69,1.0,575.9,0.0,36,290
15:40:57,31.70,0.3,575.9,0.0,37,300
15:40:57,31.71,0.0,575.9,0.0,38,310
15:40:58,31.63,0.8,575.9,0.0,40,320
15:40:58,31.67,0.3,576.8,0.0,41,330
15:40:58,31.67,0.3,576.8,0.0,42,340
15:40:59,31.69,0.6,576.8,0.0,43,350
15:40:59,31.62,1.1,576.8,0.0,45,360
15:40:59,31.70,0.3,576.8,0.0,46,370
15:41:00,31.67,0.6,576.8,0.0,47,380
15:41:00,31.68,0.3,576.8,0.0,48,390
15:41:00,31.65,1.5,576.8,0.0,50,400
15:41:01,31.71,3.0,576.8,1.0,51,410
15:41:01,31.70,0.9,576.8,0.0,52,420
15:41:01,31.71,0.3,576.8,0.0,53,430
15:41:01,31.68,0.6,576.8,0.0,55,440
15:41:02,31.74,1.3,576.8,0.0,56,450
15:41:02,31.73,2.5,576.8,0.0,57,460
15:41:02,31.71,2.1,576.8,0.0,58,470
15:41:03,31.66,2.8,576.8,0.0,60,480
15:41:03,31.69,1.0,576.8,0.0,61,490
15:41:03,31.67,1.5,576.8,0.0,62,500
15:41:04,31.67,2.8,576.8,0.0,63,510
