Model,Avg FPS,Avg CPU (%),Avg RAM (MB),Avg GPU (%),Score
logistic_regression_model.joblib,31.86,1.19,571.85,0.05,0.9739
bagging_model.joblib,31.64,0.98,565.81,0.06,0.9963
knn_landmark_model.joblib,31.86,1.1,575.21,0.07,1.4707
mlp_model.joblib,31.88,1.05,572.28,0.08,1.5057
random_forest_model.joblib,31.74,1.02,581.87,0.09,1.5999
catboost_model.cbm,31.75,0.98,582.51,0.15,2.6546
svm_model.joblib,31.93,1.2,574.9,0.15,3.1976
best_cnn_model_landmarks.h5,27.78,1.67,618.51,0.14,5.0565
lightgbm_model.joblib,32.12,17.84,571.84,0.12,39.6959
hist_gradient_boost_model.joblib,29.12,18.33,570.45,0.14,51.0138
xgboost_model.joblib,32.28,28.64,577.94,0.15,78.6495

