iter	Passed	Remaining
0	168	16684
1	183	8977
2	195	6324
3	208	5008
4	219	4176
5	229	3603
6	239	3185
7	249	2870
8	259	2624
9	269	2422
10	279	2258
11	289	2120
12	299	2002
13	309	1900
14	319	1812
15	330	1733
16	340	1661
17	350	1598
18	361	1539
19	371	1486
20	381	1435
21	391	1387
22	401	1344
23	411	1303
24	421	1264
25	431	1228
26	441	1193
27	451	1160
28	461	1129
29	471	1099
30	480	1070
31	491	1043
32	501	1017
33	510	991
34	520	967
35	530	943
36	540	920
37	557	909
38	568	889
39	581	872
40	592	852
41	602	832
42	613	812
43	623	794
44	634	775
45	644	756
46	654	738
47	665	720
48	675	702
49	685	685
50	695	668
51	705	651
52	714	634
53	724	617
54	734	600
55	744	584
56	753	568
57	763	553
58	773	537
59	782	521
60	793	507
61	803	492
62	812	477
63	822	462
64	832	448
65	842	434
66	852	419
67	862	405
68	872	391
69	882	378
70	891	364
71	901	350
72	911	337
73	921	323
74	931	310
75	941	297
76	950	284
77	960	270
78	970	258
79	980	245
80	990	232
81	1000	219
82	1010	206
83	1020	194
84	1029	181
85	1039	169
86	1049	156
87	1058	144
88	1068	132
89	1079	119
90	1090	107
91	1101	95
92	1112	83
93	1124	71
94	1135	59
95	1146	47
96	1156	35
97	1166	23
98	1177	11
99	1188	0
